entity_id,state,last_changed
sensor.ivy_total_cleaning_time,202.811666666667,2026-08-01T20:47:36.258Z
sensor.ivy_total_cleaning_time,202.8825,2026-08-01T20:53:46.984Z
sensor.ivy_total_cleaning_time,202.966388888889,2026-08-01T21:07:49.501Z
sensor.ivy_total_cleaning_time,203.031111111111,2026-08-02T06:21:45.510Z
sensor.ivy_total_cleaning_time,203.085277777778,2026-08-02T06:29:03.645Z
sensor.ivy_total_cleaning_time,203.166944444444,2026-08-02T06:35:50.599Z
sensor.ivy_cleaning_time,unavailable,2026-07-31T07:00:00.000Z
sensor.ivy_cleaning_time,0.0166666666666667,2026-08-01T02:44:30.839Z
sensor.ivy_cleaning_time,0.383333333333333,2026-08-01T03:08:22.094Z
sensor.ivy_cleaning_time,0.0,2026-08-01T03:11:14.294Z
sensor.ivy_cleaning_time,0.5,2026-08-01T03:11:29.486Z
sensor.ivy_cleaning_time,1.0,2026-08-01T03:11:45.257Z
sensor.ivy_cleaning_time,1.25,2026-08-01T03:12:00.396Z
sensor.ivy_cleaning_time,1.5,2026-08-01T03:12:16.687Z
sensor.ivy_cleaning_time,1.61666666666667,2026-08-01T03:12:32.342Z
sensor.ivy_cleaning_time,0.166666666666667,2026-08-01T03:15:00.315Z
sensor.ivy_cleaning_time,0.5,2026-08-01T03:15:15.390Z
sensor.ivy_cleaning_time,1.0,2026-08-01T03:15:40.802Z
sensor.ivy_cleaning_time,1.01666666666667,2026-08-01T03:15:42.248Z
sensor.ivy_cleaning_time,0.5,2026-08-01T03:16:49.254Z
sensor.ivy_cleaning_time,0.716666666666667,2026-08-01T03:17:04.377Z
sensor.ivy_cleaning_time,1.0,2026-08-01T03:17:20.148Z
sensor.ivy_cleaning_time,1.05,2026-08-01T03:17:24.614Z
sensor.ivy_cleaning_time,1.33333333333333,2026-08-01T03:17:39.392Z
sensor.ivy_cleaning_time,1.53333333333333,2026-08-01T03:17:55.318Z
sensor.ivy_cleaning_time,1.8,2026-08-01T03:18:10.379Z
sensor.ivy_cleaning_time,2.0,2026-08-01T03:18:30.099Z
sensor.ivy_cleaning_time,2.01666666666667,2026-08-01T03:18:46.217Z
sensor.ivy_cleaning_time,0.5,2026-08-01T20:36:43.846Z
sensor.ivy_cleaning_time,0.866666666666667,2026-08-01T20:36:58.806Z
sensor.ivy_cleaning_time,1.15,2026-08-01T20:37:14.814Z
sensor.ivy_cleaning_time,1.38333333333333,2026-08-01T20:37:29.822Z
sensor.ivy_cleaning_time,1.66666666666667,2026-08-01T20:37:45.774Z
sensor.ivy_cleaning_time,1.86666666666667,2026-08-01T20:38:00.819Z
sensor.ivy_cleaning_time,2.2,2026-08-01T20:38:16.849Z
sensor.ivy_cleaning_time,2.43333333333333,2026-08-01T20:38:31.830Z
sensor.ivy_cleaning_time,2.66666666666667,2026-08-01T20:38:47.795Z
sensor.ivy_cleaning_time,3.0,2026-08-01T20:39:02.839Z
sensor.ivy_cleaning_time,3.23333333333333,2026-08-01T20:39:18.766Z
sensor.ivy_cleaning_time,3.5,2026-08-01T20:39:33.823Z
sensor.ivy_cleaning_time,3.65,2026-08-01T20:39:49.732Z
sensor.ivy_cleaning_time,3.88333333333333,2026-08-01T20:40:07.043Z
sensor.ivy_cleaning_time,0.0,2026-08-01T20:45:40.626Z
sensor.ivy_cleaning_time,0.5,2026-08-01T20:46:03.787Z
sensor.ivy_cleaning_time,0.733333333333333,2026-08-01T20:46:19.584Z
sensor.ivy_cleaning_time,0.5,2026-08-01T20:47:16.573Z
sensor.ivy_cleaning_time,0.85,2026-08-01T20:47:36.256Z
sensor.ivy_cleaning_time,0.0,2026-08-01T20:49:53.815Z
sensor.ivy_cleaning_time,0.766666666666667,2026-08-01T20:50:08.678Z
sensor.ivy_cleaning_time,1.01666666666667,2026-08-01T20:50:24.459Z
sensor.ivy_cleaning_time,1.25,2026-08-01T20:50:39.683Z
sensor.ivy_cleaning_time,1.53333333333333,2026-08-01T20:50:55.476Z
sensor.ivy_cleaning_time,1.7,2026-08-01T20:51:10.666Z
sensor.ivy_cleaning_time,2.0,2026-08-01T20:51:26.471Z
sensor.ivy_cleaning_time,2.28333333333333,2026-08-01T20:51:41.672Z
sensor.ivy_cleaning_time,2.53333333333333,2026-08-01T20:51:57.577Z
sensor.ivy_cleaning_time,2.83333333333333,2026-08-01T20:52:12.660Z
sensor.ivy_cleaning_time,3.01666666666667,2026-08-01T20:52:28.619Z
sensor.ivy_cleaning_time,3.3,2026-08-01T20:52:43.661Z
sensor.ivy_cleaning_time,3.5,2026-08-01T20:52:59.617Z
sensor.ivy_cleaning_time,4.0,2026-08-01T20:53:30.578Z
sensor.ivy_cleaning_time,4.25,2026-08-01T20:53:46.983Z
sensor.ivy_cleaning_time,0.0,2026-08-01T21:03:10.866Z
sensor.ivy_cleaning_time,0.5,2026-08-01T21:03:25.677Z
sensor.ivy_cleaning_time,1.0,2026-08-01T21:03:41.774Z
sensor.ivy_cleaning_time,1.26666666666667,2026-08-01T21:03:56.675Z
sensor.ivy_cleaning_time,1.5,2026-08-01T21:04:12.619Z
sensor.ivy_cleaning_time,1.61666666666667,2026-08-01T21:04:27.670Z
sensor.ivy_cleaning_time,2.03333333333333,2026-08-01T21:04:43.793Z
sensor.ivy_cleaning_time,2.3,2026-08-01T21:04:58.660Z
sensor.ivy_cleaning_time,2.5,2026-08-01T21:05:14.457Z
sensor.ivy_cleaning_time,2.78333333333333,2026-08-01T21:05:29.668Z
sensor.ivy_cleaning_time,3.0,2026-08-01T21:05:45.473Z
sensor.ivy_cleaning_time,3.28333333333333,2026-08-01T21:06:00.698Z
sensor.ivy_cleaning_time,3.5,2026-08-01T21:06:16.628Z
sensor.ivy_cleaning_time,3.76666666666667,2026-08-01T21:06:31.665Z
sensor.ivy_cleaning_time,4.01666666666667,2026-08-01T21:06:47.554Z
sensor.ivy_cleaning_time,4.35,2026-08-01T21:07:02.675Z
